股票代码,股票名称,交易日期,新浪概念,收盘价,涨跌幅,成交量,MACD_金叉死叉,收盘价_3天均值,收盘价_至今均值
sz000002,万科Ａ,2016-12-14,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.29,-0.033391000000000004,41281457,,,22.29
sz000002,万科Ａ,2016-12-13,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.06,-0.008598,48450098,,22.674999999999997,22.674999999999997
sz000002,万科Ａ,2016-12-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.26,-0.062475,78901945,,23.16,22.87
sz000002,万科Ａ,2016-09-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.81,0.002829,48168045,,24.034999999999997,23.355
sz000002,万科Ａ,2016-08-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.74,-0.015911,38055084,,24.77499999999999,23.631999999999998
sz000002,万科Ａ,2016-07-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.14,-0.009456,49462389,,24.93999999999999,23.883333333333336
sz000002,万科Ａ,2016-06-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.38,-0.004706,35645541,,25.25999999999999,24.09714285714286
sz000002,万科Ａ,2016-05-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.5,-0.035917000000000004,68906336,,25.43999999999999,24.2725
sz000002,万科Ａ,2016-02-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.45,-0.019281,51572972,,25.974999999999994,24.514444444444443
sz000002,万科Ａ,2016-01-12,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.97,-0.000371,95017059,,26.709999999999994,24.759999999999998
sz000002,万科Ａ,2016-11-30,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.98,0.031346,119318381,,26.974999999999994,24.96181818181818
sz000002,万科Ａ,2016-11-29,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.16,-0.00834,78060059,死叉,26.569999999999993,25.061666666666667
